date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,424025,4700BC Nutty Tuxedo Chocolate Popcorn,482030,250,250,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/e1bc109c-dae6-4dca-990b-bdab4ebfef65.png,,4700BC
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,495576,4700BC Nutty Tuxedo Chocolate Popcorn Gift Pack,1175680,499,499,0,0,0,https://cdn.grofers.com/da/cms-assets/cms/product/b849c910-84e4-46ca-a51c-bb0e3e3232f3.png,,4700BC
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,617464,Crax Namkeen Snacks Party Combo,2151204,72,90,0,0,0,https://cdn.grofers.com/da/cms-assets/cms/product/f9db696b-896b-46db-a05c-88e3929052fd.png,,Crax
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,633249,Beyond Snack Kerala Banana Chips,2173134,80,80,0,0,0,https://cdn.grofers.com/da/cms-assets/cms/product/49a34af6-c6f0-4f66-81c6-de20fd08cb0e.png,,Beyond Snack
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,524535,Let's Try Namkeen Combo,744169,81,90,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/46ee6575-38de-49b6-98d4-53d9a158a564.png,,Let's Try
2025-07-24,Munchies,1237,Namkeen Snacks,29,29859,618335,Shrego Roasted & Salted Peanuts,1902818,179,200,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/b97a153f-84fd-4bcf-9c66-713cb7faac56.png,,Shrego
2025-07-24,Munchies,1237,Namkeen Snacks,29,29859,618332,"Shrego Roasted Peanuts, - Unsalted",1902823,449,500,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/fd755644-bc59-465e-96dd-8429be5de40a.png,,Shrego
2025-07-24,Munchies,1237,Namkeen Snacks,29,29859,599404,Healthy Master Baked Bhakarwadi,1321603,299,420,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/adf03223-471a-4495-9f7b-3007a060053f.png,,Healthy Master
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,588255,Let's Try Hing Jeera Bhuna Chana,1244749,104,120,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/ac5764d0-9fa6-48be-8267-e3df4987cb5b.png,,Let's Try
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,372136,Chheda's Bhakarwadi Namkeen,1912980,51,70,1,7,0,https://cdn.grofers.com/da/cms-assets/cms/product/19904ec5-987e-4ad0-a433-d5ca125b323a.png,,Chheda's
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,25467,Garden Mini Bhakarwadi Namkeen,1912817,53,55,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/aebe0343-2e08-452e-a29b-02175d02c92e.png,,Garden
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,612063,Haldiram's Prabhuji Chowpati Bhelpuri,1452606,30,49,1,14,0,https://cdn.grofers.com/da/cms-assets/cms/product/1ae5ebce-5e0c-4df5-89a7-35e68947e8c4.png,,Haldiram's Prabhuji
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,676118,Crax Zero Classic Salted Peanuts,2142278,80,100,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/a16ddafe-fd0a-49ed-a872-ef17b31e98e1.png,,Crax
2025-07-24,Munchies,1237,Namkeen Snacks,29,41365,527041,Mr. Makhana Classic Bhelpuri,801614,119,140,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/a24ea3bf-8289-49fc-b39b-953de19f6526.png,,Mr. Makhana
